FKBP5	1	NONE	InTOgen
SYK	1	NONE	InTOgen
MMP2	2	NONE	InTOgen
CDK4	1	Palbociclib	OncoKB
DLG1	3	NONE	InTOgen
MAP4K1	1	NONE	InTOgen
MTOR	1	NONE	InTOgen
PSMA6	3	NONE	InTOgen
CNTNAP1	3	NONE	InTOgen
PLXNA1	3	NONE	InTOgen
XPO1	3	NONE	InTOgen
GOLGA5	3	NONE	InTOgen
MACF1	3	NONE	InTOgen
STARD13	3	NONE	InTOgen
CAD	3	NONE	InTOgen
SOS1	3	NONE	InTOgen
KDR	1	NONE	InTOgen
RAC1	3	NONE	InTOgen
HRAS	1	NONE	InTOgen
NTRK1	1	NONE	InTOgen
CDK6	2	NONE	InTOgen
PTEN	1	NONE	InTOgen
ROBO2	3	NONE	InTOgen
PRPF8	3	NONE	InTOgen
ARAF	2	Sorafenib;Sorafenib	OncoKB;OncoKB
PIK3CB	2	NONE	InTOgen
PPP2R1A	3	NONE	InTOgen
TRIO	3	NONE	InTOgen
APC	1	NONE	InTOgen
IDH2	2	AG-221;NONE	OncoKB;InTOgen
SVEP1	3	NONE	InTOgen
FUS	2	NONE	InTOgen
NUP98	3	NONE	InTOgen
RAF1	1	NONE	InTOgen
WNK1	3	NONE	InTOgen
CDKN2A	2	NONE	InTOgen
CARM1	3	NONE	InTOgen
MYD88	1	NONE	InTOgen
PTCH1	2	Sonidegib;Sonidegib, Vismodegib	OncoKB;OncoKB
NEDD4L	3	NONE	InTOgen
IGF1R	1	NONE	InTOgen
CAPN7	3	NONE	InTOgen
PRKCZ	2	NONE	InTOgen
FGFR1	1	NONE	InTOgen
MET	1	Crizotinib;Crizotinib;Crizotinib;Crizotinib;Crizotinib;Crizotinib;Crizotinib;Crizotinib;Crizotinib;NONE	OncoKB;OncoKB;OncoKB;OncoKB;OncoKB;OncoKB;OncoKB;OncoKB;OncoKB;InTOgen
BLM	3	NONE	InTOgen
LRP6	3	NONE	InTOgen
ATR	2	NONE	InTOgen
NCK1	3	NONE	InTOgen
GNA11	1	NONE	InTOgen
FAT2	3	NONE	InTOgen
NTRK3	1	NONE	InTOgen
CAT	3	NONE	InTOgen
ABL1	1	NONE	InTOgen
BRCA2	1	Olaparib	OncoKB
NF2	1	NONE	InTOgen
PCDH18	3	NONE	InTOgen
POM121	3	NONE	InTOgen
PIK3C2B	1	NONE	InTOgen
STK4	1	NONE	InTOgen
ACAD8	3	NONE	InTOgen
LPHN2	3	NONE	InTOgen
EPHB2	1	NONE	InTOgen
TSC2	1	Everolimus	OncoKB
FGFR2	1	NONE	InTOgen
RHOT1	3	NONE	InTOgen
TAOK1	1	NONE	InTOgen
ITGA9	3	NONE	InTOgen
PIP5K1A	2	NONE	InTOgen
ATF1	3	NONE	InTOgen
MGMT	3	NONE	InTOgen
MAP3K11	1	NONE	InTOgen
NTN4	3	NONE	InTOgen
