entrez	symbol	description	locus	hprd	hgnc	mim	refpro	refdna	ensembl	type	dominant	recessive	duplicability	origin	degree	mirna	function	expression	chromosome	tstart	tend	type_of_screening	cancer_type
65985	AACS	acetoacetyl-CoA synthetase	12q24.31	12391	21298	614364	NP_076417	NM_023928	ENSP00000324842	candidate	0	0	0	Last Universal Common Ancestor	1	1	Cellular metabolism	73	chr12	125550131	125626772	WGS	liver
19	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	9q31.1	02501	29	600046	NP_005493	NM_005502	ENSP00000363868	candidate	0	0	0	Last Universal Common Ancestor	58	6	Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	91	chr9	107546599	107665960	WES	colorectal
21	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	16p13.3	03369	33	601615	NP_001080	NM_001089	ENSP00000301732	candidate	0	0	0	Last Universal Common Ancestor	2	1	-1	49	chr16	2326678	2376467	WES	breast
10347	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	19p13.3	09255	37	605414	NP_061985	NM_019112;NM_033308	ENSP00000263094	candidate	0	0	0	Last Universal Common Ancestor	5	1	Cellular processes	69	chr19	1041361	1065421	WES	pancreas
8647	ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2q24	04436	42	603201	NP_003733	NM_003742	ENSP00000263817	candidate	0	0	0	Last Universal Common Ancestor	4	1	-1	21	chr2	169780135	169874635	WES,WGS	colorectal,breast
340273	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	7p21.1	-	46	611785	NP_001157465;NP_001157413;NP_848654;NP_001157414	NM_001163993;NM_001163941;NM_178559;NM_001163942	ENSP00000384881;ENSP00000406730;ENSP00000383899	candidate	0	0	0	Last Universal Common Ancestor	2	2	-1	-1	chr7	20662909	20795244	WGS	chronic lymphocytic leukemia
11194	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	7q36	10400	49	605464	NP_009119	NM_007188	ENSP00000351717	candidate	0	0	0	Last Universal Common Ancestor	7	0	-1	0	chr7	150725603	150742433	WES	breast
10057	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	3q27	06898	56	605251	NP_005679;NP_001018881	NM_005688;NM_001023587	ENSP00000371934;ENSP00000333926	candidate	0	0	0	Last Universal Common Ancestor	5	1	-1	97	chr3	183639091	183732180	WES	pancreas
10060	ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	12p12.1	03258	60	601439	NP_064693;NP_005682	NM_020298;NM_020297;NM_005691	ENSP00000261201;ENSP00000261200	candidate	0	0	0	Last Universal Common Ancestor	200	1	Cell response to stimuli,Cellular processes	49	chr12	21958111	22089608	WES	endometrium,gastric
6059	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	4q31	03132	69	601213	NP_001035809;NP_002931	NM_001040876;NM_002940	ENSP00000296577	candidate	0	0	1	Last Universal Common Ancestor	13	3	Cell response to stimuli,Cellular metabolism,DNA/RNA metabolism and transcription	95	chr4	146025565	146048722	WGS	prostate
55324	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	3q27.1	12404	72	-	NP_060828	NM_018358	ENSP00000411471	candidate	0	0	0	Last Universal Common Ancestor	32	0	-1	93	chr3	183903996	183911483	WGS	lung
64240	ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5	2p21	05678	13886	605459	NP_071881	NM_022436	ENSP00000260645	candidate	0	0	0	Last Universal Common Ancestor	4	0	Cell response to stimuli,Cellular processes,Multicellular activities	10	chr2	44040258	44065818	WGS	lymphoma
64241	ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8	2p21	05679	13887	605460	NP_071882	NM_022437	ENSP00000272286	candidate	0	0	0	Last Universal Common Ancestor	9	4	-1	-1	chr2	44066193	44105049	WES	melanoma
10006	ABI1	abl-interactor 1	10p11.2	04336	11320	603050	NP_001171595;NP_005461;NP_001171592;NP_001171593;NP_001171587;NP_001171590;NP_001012770;NP_001171594;NP_001171596;NP_001012769;NP_001012768;NP_001171591	NM_001178124;NM_005470;NM_001178121;NM_001178122;NM_001178116;NM_001178119;NM_001012752;NM_001178123;NM_001178125;NM_001012751;NM_001012750;NM_001178120	ENSP00000365308;ENSP00000365309;ENSP00000279599;ENSP00000352114;ENSP00000365340;ENSP00000365336;ENSP00000365307;ENSP00000439646;ENSP00000440101;ENSP00000365312	known	1	0	0	Eukaryotes	71	0	Cell cycle,Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	89	chr10	27037502	27149792	CGC	leukemia
51225	ABI3	ABI family, member 3	17q21.3	05900	29859	606363	NP_057512;NP_001128658	NM_016428;NM_001135186	ENSP00000406651;ENSP00000225941	candidate	0	0	0	Eukaryotes	31	0	Cell motility and interactions,Cellular metabolism,Cellular processes	-1	chr17	47288087	47300074	WES	head and neck squamous cell carcinoma
25890	ABI3BP	ABI family, member 3 (NESH) binding protein	3q12	09380	17265	606279	NP_056244	NM_015429	ENSP00000284322	candidate	0	0	0	Metazoans	5	0	-1	10	chr3	100469342	100712249	WGS	chronic lymphocytic leukemia
25	ABL1	c-abl oncogene 1, non-receptor tyrosine kinase	9q34.1	01809	76	189980	NP_005148;NP_009297	NM_005157;NM_007313	ENSP00000323315	known	1	0	0	Last Universal Common Ancestor	365	3	Cell cycle,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	100	chr9	133589707	133761067	CGC	leukemia
27	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2	1q25.2	01259	77	164690	NP_001129472;NP_005149;NP_001161708;NP_001161711;NP_009298;NP_001161709;NP_001161710;NP_001129473	NM_001136000;NM_005158;NM_001168236;NM_001168239;NM_007314;NM_001168237;NM_001168238;NM_001136001	ENSP00000375897;ENSP00000386152;ENSP00000427562	known	1	0	0	Last Universal Common Ancestor	40	5	Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	57	chr1	179076856	179198532	CGC	leukemia
84448	ABLIM2	actin binding LIM protein family, member 2	4p16.1	-	19195	612544	NP_001123556;NP_001123560;NP_001123558;NP_001123557;NP_115808;NP_001123559;NP_001123555	NM_001130084;NM_001130088;NM_001130086;NM_001130085;NM_032432;NM_001130087;NM_001130083	ENSP00000441255;ENSP00000354887;ENSP00000389410	candidate	0	0	0	Eukaryotes	3	0	Cellular processes	-1	chr4	7968720	8108365	WES	pancreas
26	ABP1	amiloride binding protein 1 (amine oxidase (copper-containing))	7q34-q36	00088	80	104610	NP_001082	NM_001091	ENSP00000354193	candidate	0	0	0	Last Universal Common Ancestor	3	0	-1	53	chr7	150553559	150558294	WES	breast
34	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	1p31	08447	89	607008	NP_000007;NP_001120800	NM_000016;NR_022013;NM_001127328	ENSP00000359878	candidate	0	0	0	Last Universal Common Ancestor	11	4	Cellular metabolism,Cellular processes	93	chr1	76194074	76228445	WES	breast
176	ACAN	aggrecan	15q26.1	01123	319	155760	NP_001126;NP_037359	NM_001135;NM_013227	ENSP00000341615;ENSP00000387356	candidate	0	0	0	Last Universal Common Ancestor	18	0	Cell motility and interactions,Cellular metabolism,Development	62	chr15	89379438	89417709	WES	colorectal
9744	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	17p13.1	08474	16467	607763	NP_055531	NM_014716	ENSP00000158762	candidate	0	0	0	Eukaryotes	11	0	Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	35	chr17	7240054	7254711	WES	breast
1636	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	17q23.3	00108	2707	106180	NP_000780;NP_001171528;NP_690043	NM_000789;NM_152831;NM_001178057;NM_152830	ENSP00000290866	candidate	0	0	0	Last Universal Common Ancestor	4	1	Cell cycle,Cell motility and interactions,Cellular metabolism,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism	23	chr17	61554456	61574724	WES	lymphoma
340485	ACER2	alkaline ceramidase 2	9p22.1	16512	23675	613492	NP_001010887	NM_001010887	-	candidate	0	0	1	Eukaryotes	0	0	Cellular metabolism	-1	chr9	19409083	19450631	WGS	chronic lymphocytic leukemia
