ENSG	SYM	oncodriveROLE	Value
ENSG00000004897	CDC27	No class	NA
ENSG00000005339	CREBBP	Loss of function	0.0345
ENSG00000011566	MAP4K3	Loss of function	0.0655
ENSG00000012048	BRCA1	Loss of function	0.002
ENSG00000029363	BCLAF1	Activating	0.9225
ENSG00000039068	CDH1	Loss of function	0.0035
ENSG00000055609	MLL3	Loss of function	0.016
ENSG00000064012	CASP8	Loss of function	0.0125
ENSG00000065361	ERBB3	Activating	0.997
ENSG00000065559	MAP2K4	Loss of function	0.028
ENSG00000066468	FGFR2	Activating	0.998
ENSG00000067369	TP53BP1	Loss of function	0.121
ENSG00000067560	RHOA	Activating	0.736
ENSG00000067955	CBFB	Loss of function	0.003
ENSG00000068078	FGFR3	Activating	0.8175
ENSG00000072501	SMC1A	Activating	0.9065
ENSG00000074527	NTN4	Activating	0.7935
ENSG00000079999	KEAP1	Activating	0.928
ENSG00000083520	DIS3	Activating	0.8605
ENSG00000083857	FAT1	Loss of function	0.0055
ENSG00000095015	MAP3K1	Loss of function	0.012
ENSG00000096384	HSP90AB1	Loss of function	0.0885
ENSG00000099956	SMARCB1	Loss of function	0.011
ENSG00000100393	EP300	Loss of function	0.0115
ENSG00000100888	CHD8	Loss of function	0.045
ENSG00000101972	STAG2	Loss of function	0.0765
ENSG00000102974	CTCF	Loss of function	0.0045
ENSG00000104884	ERCC2	Activating	0.963
ENSG00000105568	PPP2R1A	Activating	0.9005
ENSG00000105976	MET	Activating	0.974
ENSG00000106462	EZH2	Loss of function	0.1755
ENSG00000106615	RHEB	Activating	0.895
ENSG00000107485	GATA3	Loss of function	0.015
ENSG00000108654	DDX5	Loss of function	0.1275
ENSG00000109670	FBXW7	Loss of function	0.0375
ENSG00000110092	CCND1	Activating	0.9625
ENSG00000111276	CDKN1B	Loss of function	0.0535
ENSG00000111642	CHD4	Activating	0.9665
ENSG00000111670	GNPTAB	Loss of function	0.0015
ENSG00000112282	MED23	Loss of function	0.02
ENSG00000112531	QKI	Loss of function	0.0405
ENSG00000115524	SF3B1	Activating	0.9585
ENSG00000115904	SOS1	Activating	0.7415
ENSG00000116044	NFE2L2	Activating	0.986
ENSG00000117713	ARID1A	Loss of function	0
ENSG00000118046	STK11	Loss of function	0.004
ENSG00000118058	MLL	Loss of function	5e-04
ENSG00000118513	MYB	Loss of function	0.267
ENSG00000119414	PPP6C	Loss of function	0.1335
ENSG00000119772	DNMT3A	Loss of function	0.198
ENSG00000121067	SPOP	No class	0.688
ENSG00000121879	PIK3CA	Activating	0.996
ENSG00000122025	FLT3	Activating	0.949
ENSG00000122406	RPL5	Loss of function	0.0635
ENSG00000122729	ACO1	Loss of function	0.2385
ENSG00000124762	CDKN1A	Loss of function	0.0375
ENSG00000126012	KDM5C	Loss of function	0.1415
ENSG00000127616	SMARCA4	Loss of function	0.279
ENSG00000129474	AJUBA	Loss of function	0.044
ENSG00000129514	FOXA1	Loss of function	0.158
ENSG00000132522	GPS2	Loss of function	0.0145
ENSG00000133131	MORC4	Loss of function	0.004
ENSG00000133703	KRAS	Activating	0.9995
ENSG00000134086	VHL	Loss of function	0.012
ENSG00000134982	APC	Loss of function	0
ENSG00000135111	TBX3	Loss of function	0.061
ENSG00000135503	ACVR1B	Loss of function	0.1935
ENSG00000136238	RAC1	Activating	0.8965
ENSG00000138413	IDH1	Activating	0.993
ENSG00000139687	RB1	Loss of function	0
ENSG00000140836	ZFHX3	Loss of function	0.0085
ENSG00000141027	NCOR1	Loss of function	0.012
ENSG00000141510	TP53	Loss of function	0.0065
ENSG00000141579	ZNF750	Loss of function	0.105
ENSG00000141644	MBD1	Loss of function	0.137
ENSG00000141646	SMAD4	Loss of function	0.0185
ENSG00000142208	AKT1	Activating	0.995
ENSG00000142627	EPHA2	Loss of function	0.089
ENSG00000143379	SETDB1	Activating	0.966
ENSG00000143631	FLG	Activating	0.8735
ENSG00000143970	ASXL2	Loss of function	0.0385
ENSG00000145675	PIK3R1	Loss of function	0.0175
ENSG00000145715	RASA1	Loss of function	0.009
ENSG00000146648	EGFR	Activating	0.996
ENSG00000147050	KDM6A	Loss of function	0.005
ENSG00000147144	CCDC120	Activating	0.9645
ENSG00000147889	CDKN2A	Loss of function	0.035
ENSG00000148400	NOTCH1	Loss of function	0.061
ENSG00000148737	TCF7L2	Loss of function	0.0165
ENSG00000149311	ATM	Loss of function	5e-04
ENSG00000150347	ARID5B	Loss of function	0.0955
ENSG00000151150	ANK3	Activating	0.886
ENSG00000151835	SACS	Activating	0.906
ENSG00000153487	ING1	Loss of function	0.009
ENSG00000156531	PHF6	Loss of function	0.021
ENSG00000157404	KIT	Activating	0.975
ENSG00000157764	BRAF	Activating	0.9995
ENSG00000158019	BRE	Loss of function	0.073
ENSG00000159216	RUNX1	Loss of function	0.001
ENSG00000160007	ARHGAP35	Loss of function	0
ENSG00000160201	U2AF1	Activating	0.9335
ENSG00000163435	ELF3	Loss of function	0.032
ENSG00000163513	TGFBR2	Loss of function	0.0435
