Gene Symbol	Name	Entrez GeneId	Genome Location	Tumour Types(Somatic)	Synonyms																
AKT2	v-akt murine thymoma viral oncogene homolog 2	208	19:40233872-40265267	"ovarian	 pancreatic"	"AKT2	ENSG00000105221	P31751	208	RAC-BETA	PRKBB	PKBBETA"									
ALK	anaplastic lymphoma kinase (Ki-1)	238	2:29193224-29920659	"ALCL	 NSCLC	 neuroblastoma	 inflammatory myofibroblastic tumour	 Spitzoid tumour"	"ALK	ENSG00000171094	Q9UM73	238	TFG/ALK	CD246"							
CCNE1	cyclin E1	898	19:29812556-29823777	serous ovarian	"CCNE1	ENSG00000105173	P24864	898	CCNE"												
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog	 avian)"	1956	7:55019278-55205617	"glioma	 NSCLC"	"EGFR	ENSG00000146648	P00533	1956	mENA	ERBB1	ERBB"								
ERBB2	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2	 neuro/glioblastoma derived oncogene homolog (avian)"	2064	17:39700239-39728044	"breast	 ovarian	 other tumour types	 NSCLC	 gastric"	"ERBB2	ENSG00000141736	P04626	2064	c-erbB2	c-erb B2	TKR1	NGL	NEU	HER2	HER-2/neu	HER-2"
JUN	jun oncogene	3725	1:58782075-58783070	sarcoma	"JUN	ENSG00000177606	P05412	3725	c-Jun	AP1"											
LMO1	LIM domain only 1 (rhombotin 1) (RBTN1)	4004	11:8224616-8268634	"T-ALL	 neuroblastoma"	"LMO1	ENSG00000166407	P25800	4004	TTG1	RHOM1	RBTN1"									
MDM2	Mdm2 p53 binding protein homolog	4193	12:68808478-68839849	"sarcoma	 glioma	 colorectal	 other tumour types"	"MDM2	ENSG00000135679	Q00987	4193	hdm2	MGC71221	HDMX	HDM2"						
MDM4	Mdm4 p53 binding protein homolog	4194	1:204525519-204549682	"glioblastoma	 bladder	 retinoblastoma"	"MDM4	ENSG00000198625	4194	RP11-430C7_1	MRP1	MGC132766	MDMX	DKFZp781B1423"							
MITF	microphthalmia-associated transcription factor	4286	3:69936723-69965248	melanoma	"MITF	ENSG00000187098	4286	WS2A"													
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	4609	8:127738263-127740958	"Burkitt lymphoma	 amplified in other cancers	 B-CLL"	"MYC	ENSG00000136997	4609	c-Myc"											
MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	4610	1:39900814-39901434	small cell lung carcinoma	"MYCL	ENSG00000116990	4610	MYCL1	MYCL	LMYC"											
MYCN	"v-myc myelocytomatosis viral related oncogene	 neuroblastoma derived (avian)"	4613	2:15942065-15946097	neuroblastoma	"MYCN	ENSG00000134323	4613	ODED	NMYC	N-myc	MODED"									
NKX2-1	NK2 homeobox 1	7080	14:36517278-36519357	NSCLC	"TITF1	ENSG00000136352	P43699	7080	TTF-1	TITF1	TEBP	NKX2_1	NKX2A	NK-2	BHC	BCH"					
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	5966	2:60881841-60922535	Hodgkin lymphoma	"REL	ENSG00000162924	5966	I-Rel	C-Rel"												
SOX2	SRY (sex determining region Y)-box 2	6657	3:181712361-181713314	"NSCLC	 oesophageal squamous carcinoma"	"SOX2	ENSG00000181449	P48431	6657	MGC2413	MCOPS3	ANOP3"									
